SETTLEMENT,LHZ_CODE,DISTRICT,REGION,LHZ
sadaxhiglo,5,Gaalkacyo,Mudug,hawd
sagaalaad,14,Afgooye,Shabelle Hoose,riverine
sahagebogebo,6,Laas Caanood,Sool,nip
sahdheer,5,Laas Caanood,Sool,hawd
salag,16,Baydhaba,Bay,bay
salaxdhadhaab,5,Dhuusamarreeb,Galgaduud,hawd
salaxley,5,Hargeysa,Woqooyi Galbeed,hawd
salbuuy,16,Baydhaba,Bay,bay
saley,2,Hargeysa,Woqooyi Galbeed,west golis
sallax,5,Burtinle,Nugaal,hawd
salmisga,16,Buur Hakaba,Bay,bay
samad,17,Balcad,Shabelle Dhexe,rainfed
samakayeddi,16,Buur Hakaba,Bay,bay
samakaygadudi,16,Baydhaba,Bay,bay
sanjilbo,6,Qardho,Bari,nip
sanjuurey,16,Qansax Dheere,Bay,bay
sanlawebari,3,Gebiley,Woqooyi Galbeed,nw
sanlawegalbed,3,Gebiley,Woqooyi Galbeed,nw
sanyare,5,Burco,Togdheer,hawd
sariiro,11,Doolow,Gedo,southern
sariirta,16,Baydhaba,Bay,bay
sarmaan,6,Bandarbeyla,Bari,nip
sarmaandheer,16,Baydhaba,Bay,bay
sarmaanley,16,Buur Hakaba,Bay,bay
sarmaanyo,6,Xudun,Sool,nip
sarmanyo,5,Buuhoodle,Togdheer,hawd
sarta,16,Qansax Dheere,Bay,bay
satiile,3,Gebiley,Woqooyi Galbeed,nw
sayn,7,Caluula,Bari,east golis
saynweynidajabis,7,Caluula,Bari,east golis
sebedowawmumin,16,Baydhaba,Bay,bay
semade,9,Jariiban,Mudug,addun
senilow,16,Baydhaba,Bay,bay
shaaloodoy,16,Baydhaba,Bay,bay
shaam,14,Jowhar,Shabelle Dhexe,riverine
shaambur,16,Baydhaba,Bay,bay
shaashcad,14,Balcad,Shabelle Dhexe,riverine
shaaxid,5,Burco,Togdheer,hawd
shabeele,16,Buur Hakaba,Bay,bay
shabeelle,16,Baydhaba,Bay,bay
shabeelow,16,Baydhaba,Bay,bay
shadiiley,13,Luuq,Gedo,riverine
shagale,2,Hargeysa,Woqooyi Galbeed,west golis
shakab,2,Baki,Awdal,west golis
shalcaw,7,Ceel Afweyn,Sanaag,east golis
shalkarsanoy,16,Baydhaba,Bay,bay
shamiti,16,Baydhaba,Bay,bay
shangale,5,Buuhoodle,Togdheer,hawd
shanshacadde,5,Burco,Togdheer,hawd
shantamundule,16,Qansax Dheere,Bay,bay
shantarale,16,Baydhaba,Bay,bay
shawki,16,Baydhaba,Bay,bay
shaxda,6,Taleex,Sool,nip
shdudub,2,Zeylac,Awdal,west golis
shebaab,7,Qandala,Bari,east golis
sheebele,16,Buur Hakaba,Bay,bay
sheekmadumurey,16,Baydhaba,Bay,bay
sheerbi,6,Qardho,Bari,nip
baxarasaaf,1,Zeylac,Awdal,guban
sheikhhuways,3,Borama,Awdal,nw
sheikhooyaaye,14,Jowhar,Shabelle Dhexe,riverine
shewka,16,Baydhaba,Bay,bay
shibelle,16,Buur Hakaba,Bay,bay
shidaloow,16,Buur Hakaba,Bay,bay
shiidalow,16,Baydhaba,Bay,bay
shiidkuus,16,Qansax Dheere,Bay,bay
shiidlebari,14,Jowhar,Shabelle Dhexe,riverine
shiidlli,16,Baydhaba,Bay,bay
shiidlow,16,Buur Hakaba,Bay,bay
shiikhaal,14,Afgooye,Shabelle Hoose,riverine
shiikhahmedgabale,17,Balcad,Shabelle Dhexe,rainfed
shimbire,16,Buur Hakaba,Bay,bay
shimbiroole,16,Diinsoor,Bay,bay
shimbirshiigshiig,16,Buur Hakaba,Bay,bay
shinbiraaley,6,Xudun,Sool,nip
shinimaal,16,Baydhaba,Bay,bay
shire,6,Qardho,Bari,nip
shonqolow,16,Baydhaba,Bay,bay
shumoxshumox,7,Ceerigaabo,Sanaag,east golis
shuunqayli,16,Buur Hakaba,Bay,bay
siigodheer,6,Ceerigaabo,Sanaag,nip
silaata,16,Buur Hakaba,Bay,bay
sinadhaga,9,Dhuusamarreeb,Galgaduud,addun
sincaro,6,Ceel Afweyn,Sanaag,nip
sinujif,6,Garoowe,Nugaal,nip
caashacaddo,1,Zeylac,Awdal,guban
sool,16,Buur Hakaba,Bay,bay
sufurwayne,6,Xudun,Sool,nip
sugiyari,16,Baydhaba,Bay,bay
surgaduud,13,Doolow,Gedo,riverine
suruqli,16,Buur Hakaba,Bay,bay
suryo,5,Burco,Togdheer,hawd
suubanlaged,9,Eyl,Nugaal,addun
suuj,8,Bandarbeyla,Bari,deeh
suunteylli,16,Baydhaba,Bay,bay
taagmooge,16,Qansax Dheere,Bay,bay
taallobuur,5,Burco,Togdheer,hawd
tabarow,16,Baydhaba,Bay,bay
tabeelaha,17,Wanla Weyn,Shabelle Hoose,rainfed
tagaal,16,Baydhaba,Bay,bay
tager,7,Iskushuban,Bari,east golis
talamoge,7,Caluula,Bari,east golis
tarash,16,Baydhaba,Bay,bay
tarocasso,5,Gaalkacyo,Mudug,hawd
tasjiic,7,Bossaso,Bari,east golis
taxsiile,17,Afgooye,Shabelle Hoose,rainfed
taysa,3,Gebiley,Woqooyi Galbeed,nw
timir,6,Taleex,Sool,nip
timire,14,Jowhar,Shabelle Dhexe,riverine
timirshe,7,Iskushuban,Bari,east golis
tinsaagara,16,Buur Hakaba,Bay,bay
tixsiile,17,Afgooye,Shabelle Hoose,rainfed
tofiiq,16,Buur Hakaba,Bay,bay
toon,3,Hargeysa,Woqooyi Galbeed,nw
toortoorow,16,Buur Hakaba,Bay,bay
toosiley,11,Doolow,Gedo,southern
heemaal,1,Zeylac,Awdal,guban
torabora,6,Ceerigaabo,Sanaag,nip
towsilibee,16,Qansax Dheere,Bay,bay
tubaaka,16,Buur Hakaba,Bay,bay
tubake,16,Baydhaba,Bay,bay
tugaarhoosle,16,Diinsoor,Bay,bay
tukoraq,6,Laas Caanood,Sool,nip
tukub,6,Caynabo,Sool,nip
tulli,3,Borama,Awdal,nw
tuloqorax,5,Gaalkacyo,Mudug,hawd
tuugaarey,14,Balcad,Shabelle Dhexe,riverine
tuugay,16,Buur Hakaba,Bay,bay
tuuladageedcasher,14,Balcad,Shabelle Dhexe,riverine
tuuladajameecabunbeega,16,Qansax Dheere,Bay,bay
tuulociise,7,Qandala,Bari,east golis
tuulosamakaab,6,Laas Caanood,Sool,nip
tuurmasale,7,Qandala,Bari,east golis
tuursubag,6,Xudun,Sool,nip
udan,3,Hargeysa,Woqooyi Galbeed,nw
ufeynsare,6,Bossaso,Bari,nip
ugaadhyahan,3,Gebiley,Woqooyi Galbeed,nw
ugaari,16,Buur Hakaba,Bay,bay
ulbaanti,16,Baydhaba,Bay,bay
ulxeed,7,Laasqoray,Sanaag,east golis
umurow,16,Buur Hakaba,Bay,bay
umurowyare,16,Buur Hakaba,Bay,bay
unaa,13,Doolow,Gedo,riverine
unuun,7,Iskushuban,Bari,east golis
uurweyne,16,Buur Hakaba,Bay,bay
uusgure,6,Qardho,Bari,nip
waabaa,2,Sheikh,Togdheer,west golis
waabaha,2,Hargeysa,Woqooyi Galbeed,west golis
waabdoore,16,Diinsoor,Bay,bay
waaciye,6,Laasqoray,Sanaag,nip
waafdhaaywiin,16,Buur Hakaba,Bay,bay
waalidxoor,3,Gebiley,Woqooyi Galbeed,nw
waamomainvillage,16,Buur Hakaba,Bay,bay
wad,6,Xudun,Sool,nip
wadaamagoo,5,Caynabo,Sool,hawd
wadhan,6,Caynabo,Sool,nip
wafdheyweyn,16,Buur Hakaba,Bay,bay
wajiwayn,2,Baki,Awdal,west golis
walaq,16,Baydhaba,Bay,bay
wanaay,16,Buur Hakaba,Bay,bay
wanakiir,5,Cadaado,Galgaduud,hawd
waqdariya,7,Ceerigaabo,Sanaag,east golis
waraabeeye,5,Burco,Togdheer,hawd
heemaalcadde,1,Zeylac,Awdal,guban
warabaaleyare,16,Buur Hakaba,Bay,bay
warabadadow,16,Buur Hakaba,Bay,bay
warashoo,16,Baydhaba,Bay,bay
warcibraan,5,Burco,Togdheer,hawd
warcilaan,13,Luuq,Gedo,riverine
wardher,6,Ceerigaabo,Sanaag,nip
wareeg,16,Baydhaba,Bay,bay
warfa,16,Buur Hakaba,Bay,bay
wargalo,9,Cadaado,Galgaduud,addun
wargaraslemudumeed,16,Baydhaba,Bay,bay
wargududo,11,Doolow,Gedo,southern
wargunbisatellite,6,Ceel Afweyn,Sanaag,nip
waridaad,6,Caynabo,Sool,nip
wariiriyaale,13,Luuq,Gedo,riverine
wariri,16,Baydhaba,Bay,bay
waririya,16,Buur Hakaba,Bay,bay
warisaaq,16,Baydhaba,Bay,bay
warjinay,16,Baydhaba,Bay,bay
warkawaayi,16,Baydhaba,Bay,bay
warmahan,17,Afgooye,Shabelle Hoose,rainfed
warmooley,17,Afgooye,Shabelle Hoose,rainfed
warmursal,17,Wanla Weyn,Shabelle Hoose,rainfed
warmuusow,17,Wanla Weyn,Shabelle Hoose,rainfed
warowilow,16,Baydhaba,Bay,bay
warqaday,16,Baydhaba,Bay,bay
warqadey,16,Baydhaba,Bay,bay
warshaamow,16,Buur Hakaba,Bay,bay
warshubo,9,Ceel Buur,Galgaduud,addun
warumur,16,Baydhaba,Bay,bay
warumurow,16,Baydhaba,Bay,bay
warxussen,16,Baydhaba,Bay,bay
waryerowwajel,16,Baydhaba,Bay,bay
waryeroy,16,Baydhaba,Bay,bay
wedahir,16,Baydhaba,Bay,bay
weekiyi,16,Baydhaba,Bay,bay
weeldheenharan,16,Qansax Dheere,Bay,bay
weelgolool,16,Diinsoor,Bay,bay
weelkaa,16,Baydhaba,Bay,bay
weellawi,16,Buur Hakaba,Bay,bay
weellowi,16,Buur Hakaba,Bay,bay
weeraar,2,Borama,Awdal,west golis
wegeli,16,Baydhaba,Bay,bay
wegelowgaduudow,16,Buur Hakaba,Bay,bay
wehelow,16,Diinsoor,Bay,bay
weley,16,Baydhaba,Bay,bay
weylo,6,Taleex,Sool,nip
widhiidh,6,Caynabo,Sool,nip
widhwidh,5,Buuhoodle,Togdheer,hawd
wiinle,16,Baydhaba,Bay,bay
wiiqaad,16,Baydhaba,Bay,bay
wiriggi,16,Baydhaba,Bay,bay
xaabbo,7,Caluula,Bari,east golis
xaadh,7,Ceerigaabo,Sanaag,east golis
xaafuun,8,Iskushuban,Bari,coastal
xaajikhayr,6,Qardho,Bari,nip
xaajikheyr,5,Burtinle,Nugaal,hawd
xaajisaalax,5,Owdweyne,Togdheer,hawd
xaajitawakal,2,Baki,Awdal,west golis
xaare,5,Buuhoodle,Togdheer,hawd
xaaro,9,Hobyo,Mudug,addun
xabaalaluundi,16,Buur Hakaba,Bay,bay
xabaalotumaalood,2,Berbera,Woqooyi Galbeed,west golis
xabiibayaal,16,Diinsoor,Bay,bay
xabow,7,Ceerigaabo,Sanaag,east golis
xadhigxadhig,3,Hargeysa,Woqooyi Galbeed,nw
xagar,16,Buur Hakaba,Bay,bay
heemaaldheere,1,Zeylac,Awdal,guban
xaliimodheer,5,Garoowe,Nugaal,hawd
xalimaale,2,Borama,Awdal,west golis
xamaas,7,Ceerigaabo,Sanaag,east golis
xamartadurdurcad,2,Borama,Awdal,west golis
xammure,7,Bossaso,Bari,east golis
xamur,5,Burtinle,Nugaal,hawd
xamure,7,Iskushuban,Bari,east golis
xamxamaa,5,Garoowe,Nugaal,hawd
xananburo,5,Cabudwaaq,Galgaduud,hawd
xananley,6,Xudun,Sool,nip
xankookib,7,Qandala,Bari,east golis
xaraf,3,Hargeysa,Woqooyi Galbeed,nw
xarago,7,Qandala,Bari,east golis
xareed,3,Hargeysa,Woqooyi Galbeed,nw
xarfo,5,Gaalkacyo,Mudug,hawd
xariirad,2,Borama,Awdal,west golis
xarshaw,7,Ceerigaabo,Sanaag,east golis
xawaadley,14,Balcad,Shabelle Dhexe,riverine
xawaalaymeynuuni,16,Diinsoor,Bay,bay
xawaalbilan,16,Qansax Dheere,Bay,bay
xawaaldhere,16,Buur Hakaba,Bay,bay
xawaalmakay,16,Qansax Dheere,Bay,bay
xayira,5,Burco,Togdheer,hawd
xeela,7,Iskushuban,Bari,east golis
xerimooli,7,Ceerigaabo,Sanaag,east golis
xhalin,6,Taleex,Sool,nip
xiddo,6,Qardho,Bari,nip
xidhinta,3,Hargeysa,Woqooyi Galbeed,nw
xidid,7,Laasqoray,Sanaag,east golis
xiis,7,Ceerigaabo,Sanaag,east golis
xijijle,7,Qandala,Bari,east golis
ximistiyo,7,Caluula,Bari,east golis
xingalool,6,Ceerigaabo,Sanaag,nip
xinlabi,9,Hobyo,Mudug,addun
xiriiro,6,Iskushuban,Bari,nip
xirmowaamo,16,Diinsoor,Bay,bay
laanshinbirood,1,Zeylac,Awdal,guban
xirsijiciir,3,Gebiley,Woqooyi Galbeed,nw
lawyacaddo,1,Zeylac,Awdal,guban
xoogjeerinle,2,Hargeysa,Woqooyi Galbeed,west golis
odawaadari,1,Zeylac,Awdal,guban
xoorrey,2,Baki,Awdal,west golis
xorfada,3,Hargeysa,Woqooyi Galbeed,nw
xubeera,7,Laasqoray,Sanaag,east golis
xudun,6,Xudun,Sool,nip
xudurciise,14,Jowhar,Shabelle Dhexe,riverine
xumbaweyne,2,Hargeysa,Woqooyi Galbeed,west golis
xuseenxamar,5,Burco,Togdheer,hawd
sheikhawaare,1,Zeylac,Awdal,guban
xuubabays,6,Iskushuban,Bari,nip
xuunshaley,3,Gebiley,Woqooyi Galbeed,nw
yaaq,16,Buur Hakaba,Bay,bay
yaaqbaraway,16,Diinsoor,Bay,bay
yaaqle,14,Balcad,Shabelle Dhexe,riverine
yaaqlow,16,Buur Hakaba,Bay,bay
yakayake,6,Qardho,Bari,nip
yaldo,3,Gebiley,Woqooyi Galbeed,nw
yalho,7,Bossaso,Bari,east golis
yasir,5,Burco,Togdheer,hawd
yeeldhaayow,16,Buur Hakaba,Bay,bay
yeyle,5,Buuhoodle,Togdheer,hawd
yibaal,6,Taleex,Sool,nip
yicis,7,Caluula,Bari,east golis
yoonbays,5,Burtinle,Nugaal,hawd
toqoshi,1,Zeylac,Awdal,guban
yubbe,7,Ceerigaabo,Sanaag,east golis
yuubka,16,Buur Hakaba,Bay,bay
zabit,16,Buur Hakaba,Bay,bay
waraabood,1,Zeylac,Awdal,guban
abaawle,16,Buur Hakaba,Bay,bay
abagdheere,16,Baydhaba,Bay,bay
abdurug,16,Baydhaba,Bay,bay
arabsiyo,3,Gebiley,Woqooyi Galbeed,nw
awcariif,17,Wanla Weyn,Shabelle Hoose,rainfed
awle,16,Baydhaba,Bay,bay
awmayow,16,Buur Hakaba,Bay,bay
awrculus,5,Burtinle,Nugaal,hawd
baale,16,Buur Hakaba,Bay,bay
balanbaale,16,Baydhaba,Bay,bay
ballicalanle,5,Burco,Togdheer,hawd
barow,16,Baydhaba,Bay,bay
beledamiin,16,Buur Hakaba,Bay,bay
birtadheer,5,Garoowe,Nugaal,hawd
biyoguduud,6,Ceerigaabo,Sanaag,nip
xirsibow,1,Zeylac,Awdal,guban
boonka,16,Baydhaba,Bay,bay
boqolka,16,Baydhaba,Bay,bay
borame,16,Baydhaba,Bay,bay
burtinle,5,Burtinle,Nugaal,hawd
bus,2,Gebiley,Woqooyi Galbeed,west golis
buuloasharaaf,16,Baydhaba,Bay,bay
buulobarako,16,Baydhaba,Bay,bay
buulocaday,16,Diinsoor,Bay,bay
buulofur,16,Baydhaba,Bay,bay
buulofuurka,16,Baydhaba,Bay,bay
buulogalooley,16,Buur Hakaba,Bay,bay
buulosokor,16,Baydhaba,Bay,bay
buulotugeer,16,Baydhaba,Bay,bay
cambaarsare,6,Qardho,Bari,nip
canjiid,6,Laas Caanood,Sool,nip
cawsane,6,Laasqoray,Sanaag,nip
ceeldoon,16,Baydhaba,Bay,bay
dagaar,7,Ceerigaabo,Sanaag,east golis
dhabicad,2,Baki,Awdal,west golis
dhoomo,6,Ceel Afweyn,Sanaag,nip
dhudhub,6,Qardho,Bari,nip
duburaha,3,Gebiley,Woqooyi Galbeed,nw
duurey,16,Baydhaba,Bay,bay
fardhidin,5,Laas Caanood,Sool,hawd
gaashaanle,14,Balcad,Shabelle Dhexe,riverine
gaboobe,2,Hargeysa,Woqooyi Galbeed,west golis
galgala,7,Bossaso,Bari,east golis
galol,16,Baydhaba,Bay,bay
galoley,16,Diinsoor,Bay,bay
galoolay,3,Gebiley,Woqooyi Galbeed,nw
ganta,16,Baydhaba,Bay,bay
garmagal,16,Baydhaba,Bay,bay
gasar,16,Baydhaba,Bay,bay
zeylac,1,Zeylac,Awdal,guban
geesdheere,3,Gebiley,Woqooyi Galbeed,nw
godka,16,Buur Hakaba,Bay,bay
godqaboobe,6,Laas Caanood,Sool,nip
gogaysa,3,Gebiley,Woqooyi Galbeed,nw
golwiin,16,Buur Hakaba,Bay,bay
gorgor,16,Buur Hakaba,Bay,bay
gumurow,16,Baydhaba,Bay,bay
haarri,16,Baydhaba,Bay,bay
habare,16,Baydhaba,Bay,bay
helishiid,13,Luuq,Gedo,riverine
hoodoy,16,Baydhaba,Bay,bay
inacadami,2,Hargeysa,Woqooyi Galbeed,west golis
kaayow,16,Baydhaba,Bay,bay
kalaale,7,Caluula,Bari,east golis
kalabayr,5,Burtinle,Nugaal,hawd
karasharka,2,Hargeysa,Woqooyi Galbeed,west golis
kobonle,16,Baydhaba,Bay,bay
kodoloob,16,Buur Hakaba,Bay,bay
koramari,16,Baydhaba,Bay,bay
korowaad,16,Buur Hakaba,Bay,bay
kulmiye,7,Ceerigaabo,Sanaag,east golis
kurman,16,Diinsoor,Bay,bay
laabiidow,16,Buur Hakaba,Bay,bay
laasasurad,7,Ceerigaabo,Sanaag,east golis
laasciidle,2,Berbera,Woqooyi Galbeed,west golis
lafaale,16,Baydhaba,Bay,bay
lowiidi,16,Buur Hakaba,Bay,bay
mashruucatogwajaale,3,Gebiley,Woqooyi Galbeed,nw
mayle,5,Burtinle,Nugaal,hawd
muraayada,5,Burco,Togdheer,hawd
odaa,13,Doolow,Gedo,riverine
qabridhaweyd,3,Gebiley,Woqooyi Galbeed,nw
qabrihuluul,5,Buuhoodle,Togdheer,hawd
qabrisamane,6,Ceel Afweyn,Sanaag,nip
qalanqal,5,Burtinle,Nugaal,hawd
qaranka,16,Buur Hakaba,Bay,bay
qawlo,6,Taleex,Sool,nip
qodax,6,Qardho,Bari,nip
qurunlow,16,Baydhaba,Bay,bay
raqeyle,14,Afgooye,Shabelle Hoose,riverine
reydabaale,16,Baydhaba,Bay,bay
sanlaawaha,3,Gebiley,Woqooyi Galbeed,nw
sareyaha,3,Gebiley,Woqooyi Galbeed,nw
shanlow,14,Balcad,Shabelle Dhexe,riverine
shimbiraale,6,Ceerigaabo,Sanaag,nip
shirfoole,16,Buur Hakaba,Bay,bay
siigadheer,6,Garoowe,Nugaal,nip
sooljoogto,5,Buuhoodle,Togdheer,hawd
suuqsade,2,Sheikh,Togdheer,west golis
takow,16,Buur Hakaba,Bay,bay
tiin,3,Gebiley,Woqooyi Galbeed,nw
tooxin,7,Caluula,Bari,east golis
tuurka,3,Gebiley,Woqooyi Galbeed,nw
udaan,3,Hargeysa,Woqooyi Galbeed,nw
uubaale,3,Hargeysa,Woqooyi Galbeed,nw
wariiri,16,Baydhaba,Bay,bay
webiyow,16,Baydhaba,Bay,bay
xaaxi,5,Owdweyne,Togdheer,hawd
xagal,3,Hargeysa,Woqooyi Galbeed,northwest
xoogaad,7,Caluula,Bari,east golis
xumbays,6,Qardho,Bari,nip
adado,5,Cadaado,Galgaduud,hawd
dhobley,13,baardheere,ngedo,riverine
oodweyne,5,odwdeyne,togdheer,hawd
baidoa,16,baydhaba,bay,bay
beledweyne,13,beletweyne,hiran,riverine
dhusomareb,5,dhuusamarreeb,Galguduud ,hawd
dollow,13,beletxaawo,ngedo,riverine
galkayo,9,galkacyo,mudug,addun
garowe,6,garoowe,nugaal,inland
kismayo,17,kismayo,lower juba,rainfed
mogadishu,19,banadir,banadir,bay
quansah,16,dinsor,bay,bay
zeila,7,calula,bari,eastgolis
belet,13,beledweyne,hiran,riverine
dhusamareeb,5,dhusamareb,Galguduud ,hawd
hudur,12,xuddur,bakool,southern
elbarde,11,ceelbarde,bakool,southern
mataban,5,beledweyne,hiran,hawd
wajidtown,12,wajid,bakool,southern
afwaax,9,Cadaado,Galgaduud,addun
ardo,9,Cadaado,Galgaduud,addun
faragoo,9,Dhuusamareeb,Galgaduud,addun
qaayib,9,Dhuusamareeb,Galgaduud,addun
xincaws,9,Ceel Buur,Galgaduud,addun
afbulo,9,Hobyo,Mudug,addun
ceeldibir,9,Hobyo,Mudug,addun
godod,9,Gaalkacyo,Mudug,addun
gacnofale,9,Gaalkacyo,Mudug,addun
faaraxgeedi,9,Gaalkacyo,Mudug,addun
gaarcad/Garcad,9,Jariiban,Mudug,addun
qorile,9,Gaalkacyo,Mudug,addun
taracaso,9,Gaalkacyo,Mudug,addun
laasocadale,9,Gaalkacyo,Mudug,addun
seego,9,Hobyo,Mudug,addun
tawfiiq,9,Jariiban,Mudug,addun
afartayaaq,16,Buur Hakaba,Bay,bay
ashar,16,Buur Hakaba,Bay,bay
bantubaako,16,Diinsoor,Bay,bay
boorow,16,Baydhaba,Bay,bay
burdhijisyarey,16,Buur Hakaba,Bay,bay
buuka,16,Baydhaba,Bay,bay
buuloabag,16,Qansax Dheere,Bay,bay
buulobilan,16,Baydhaba,Bay,bay
Buulo-Bisiq,16,Baydhaba,Bay,bay
buulofuur,16,Baydhaba,Bay,bay
buulogaduud,16,Buur Hakaba,Bay,bay
buulogaras,16,Baydhaba,Bay,bay
buulokushug,16,Baydhaba,Bay,bay
buuloyusuf,16,Baydhaba,Bay,bay
buuloeeylee,16,Baydhaba,Bay,bay
buulogaloole,16,Baydhaba,Bay,bay
buulogaras,16,Baydhaba,Bay,bay
buulojadiid,16,Diinsoor,Bay,bay
buulonure,16,Baydhaba,Bay,bay
caashafarta,16,Baydhaba,Bay,bay
dadarow,16,Baydhaba,Bay,bay
danoolow,16,Baydhaba,Bay,bay
dhanfarur,16,Buur Hakaba,Bay,bay
gadudeyti,16,Buur Hakaba,Bay,bay
galooloonle,16,Diinsoor,Bay,bay
galoolow,16,Baydhaba,Bay,bay
garasbuule,16,Buur Hakaba,Bay,bay
garbidheeri,16,Buur Hakaba,Bay,bay
gereerafur,16,Baydhaba,Bay,bay
hareeridheeri,16,Baydhaba,Bay,bay
hubur,16,Baydhaba,Bay,bay
jamaacadasheikhadan,16,Buur Hakaba,Bay,bay
jinaay,16,Baydhaba,Bay,bay
kaamire,16,Baydhaba,Bay,bay
koronkorey,16,Buur Hakaba,Bay,bay
leeshi,16,Buur Hakaba,Bay,bay
ligey,16,Buur Hakaba,Bay,bay
lowiiley,16,Buur Hakaba,Bay,bay
macaaneey,16,Baydhaba,Bay,bay
mankar,16,Baydhaba,Bay,bay
marmarka,16,Buur Hakaba,Bay,bay
midhowey,16,Baydhaba,Bay,bay
moolmadwein,16,Baydhaba,Bay,bay
raaxoole,16,Diinsoor,Bay,bay
riibikileed,16,Baydhaba,Bay,bay
afruugleey,8,Iskushuban,Bari,deeh
ceeladde,8,Iskushuban,Bari,deeh
qudbiga,6,Laas Caanood,sool,nip
tuurta,6,Caynabo,Sool,nip
carooley,6,Laascanood,Sool,nip
xalin,6,Laascanood,Sool,nip
godaalo,6,Laascanood,Sool,nip
holhol,3,borama,Awdal,nw
idhanka,3,Gebiley,Waqooyi Galbeed,nw
ishagudban,3,Gebiley,Waqooyi Galbeed,nw
beerato,3,Oodweyne,Togdheer,nw
boodhley,3,Gebiley,Waqooyi Galbeed,nw
ceelxumo,3,Oodweyne,Waqooyi Galbeed,nw
galoolley,3,Togdheer,Waqooyi Galbeed,nw
jidhaangob,3,Togdheer,Waqooyi Galbeed,nw
qoyta,3,Togdheer,Waqooyi Galbeed,nw
ximan,3,Togdheer,Waqooyi Galbeed,nw
ceelbaxay,3,Berbera,Saaxil,nw
dacarbudhuq,3,Hargeysa,Waqooyi Galbeed,nw
daymoxun,3,Hargeysa,Waqooyi Galbeed,nw
fadhixun,3,Hargeysa,Woqooyi Galbeed,nw
galooley,3,Togdheer,Waqooyi Galbeed,nw
goray,3,Gebiley,Waqooyi Galbeed,nw
jameecada,3,Hargeysa,Waqooyi Galbeed,nw
kalabaydh,3,Gebiley,Waqooyi Galbeed,nw
kalabaydh,5,Laascanood,Sool,hawd
balanbaal,5,Burco,Togdheer,hawd
galooley,5,Oodweyne,Togdheer,hawd
jameecada,5,Burco,Togdheer,hawd
xidhxidh,5,Buuhoodle,Togdheer,hawd
xeyddiiriye,5,Laascanood,Sool,hawd
inaidifle,5,Laascanood,Sool,hawd
iskudar,5,Laascanood,Sool,hawd
wartabayle,5,Burco,Togdheer,hawd
caateeyecabdi,5,Laascanood,Sool,hawd
dhumay,5,Laascanood,Sool,hawd
qoriley,5,Buuhoodle,Sool,hawd
laasodar,5,Laascanood,Sool,hawd
dhabasaar,5,Laascanood,Sool,hawd
halbow,13,luuq,Gedo,riverine
qundhed,8,bari,Bari,deeh
maraya,8,eyl,nugaal,deeh
ufeyn,7,Bossaso,bari,east golis
baalguri,14,Afgooye,lower shabelle,riverine
balcad,14,Balcad,middle shabelle,riverine
lughaye,1,Lughaye,Awdal,guban
sheeddheer,1,baki,Awdal,guban
gargaara,1,baki,Awdal,guban
hulka,1,baki,Awdal,guban
balayga,1,baki,Awdal,guban
beeyokulul,1,Hargeysa,Woqooyi Galbeed,guban
isasudhan,1,Hargeysa,Woqooyi Galbeed,guban
faruur,1,Hargeysa,Woqooyi Galbeed,guban
boobdheere,5,Cabudwaaq,Galgaduud,hawd
goodwiil,5,Cabudwaaq,Galgaduud,hawd
qabriile,5,Cabudwaaq,Galgaduud,hawd
raamaale,5,goldogob,Galgaduud,hawd
xinjilab,5,Cabudwaaq,Galgaduud,hawd
garsaalo,5,dhuusamarreeb,Galgaduud,hawd
faratooyada,5,Gaalkacyo,Mudug,hawd
farcad,5,Gaalkacyo,Mudug,hawd
dudumaale,5,garoowe,nugaal,hawd
rabaable,6,Burtinle,nugaal,hawd
timirka,6,garoowe,nugaal,hawd
wadajir,6,galkacyo,Mudug,hawd
jablahe,6,Caynabo,sool,hawd
kiridh,6,Caynabo,sool,hawd
gatiitaley,3,Odweyne,Togdheer,nw
Cabuudwaaq,5,Cabudwaaq,Galgaduud,hawd
